ID,page,time,look_tel,look_information
2q3sfe8obehohfqo9g2og46bealcu1mp,616012,"2020-08-20 00:09:30",0,0
r16q6oamdmdbjsmmf5cg5q6gqfo572hb,665098,"2020-08-20 00:09:31",0,0
tu4psp8m71codluru9e5idg8ge8sobv6,179111,"2020-08-20 00:09:32",0,0
3pbvdngshj2o1o739rcgr8j450helc0p,616014,"2020-08-20 00:09:33",0,0
jpq0fekdp12mm3ltoq02kfq7humf6dqa,712831,"2020-08-20 00:09:33",0,0
s0v77onvdbvms0d3m83ola0ld548jqa8,566272,"2020-08-20 00:09:35",0,0
45qlobugh83j5tetnpo8kn65vg67e3nt,192275,"2020-08-20 00:09:35",0,0
srk5kdsgmodbou1e2sbni2al6gc14qng,769294,"2020-08-20 00:09:36",0,0
dda01no6h84gghdsjjgfkh1si5od6vmn,717061,"2020-08-20 00:09:36",0,0
g9thb09q9iok5t7dikaqu1l047ig7j7d,634477,"2020-08-20 00:09:36",0,0
mvm2bb0inv293af20su8f3evsht6o600,764057,"2020-08-20 00:09:37",0,0
paeq2q4gbl5gqmj8l299pouln05ld0df,766807,"2020-08-20 00:09:39",0,0
b0qh49cdltv4fhsfi2r6jaltue02s9mt,766490,"2020-08-20 00:09:39",0,0
1kj7396rbqhpk4umqvio2vg06qppnitg,766398,"2020-08-20 00:09:41",0,0
p65a42diqp9rjeqt74ahn9h0dvture0j,643722,"2020-08-20 00:09:41",0,0
t653di2hno5nedjifqdpgrdvpg6skdk8,387864,"2020-08-20 00:09:42",0,0
tl5j1f7r8dg5cdelgfb6u437g2kdbsk1,769290,"2020-08-20 00:09:43",0,0
6emb4tciua691824gdqq14h1uclutopg,769101,"2020-08-20 00:09:43",0,0
vgcvand5kd050n1dqga2uugtk48qeoic,714929,"2020-08-20 00:09:45",0,0
fuqhs50r7jdhhel0iibk6plk67fmqcrr,704628,"2020-08-20 00:09:45",0,0
6u05jkjm3dbomn351qo1gn8qtvarjnv8,763143,"2020-08-20 00:09:45",0,0
t7fihj8vjsvceqphd2hlmbnbggk6c8ru,704261,"2020-08-20 00:09:46",0,0
91lpv2euoa7mli8be8o2f5rngfb9t1tp,709196,"2020-08-20 00:09:46",0,0
vikej9mt961g6dij1n9kjqjva0mftl4u,710539,"2020-08-20 00:09:46",0,0
fu2cg2519fq5qvh4ol7b79u12iotfoqg,628919,"2020-08-20 00:09:46",0,0
05k7joo46jusjc92sm9sk6vi7e3gmcqg,770128,"2020-08-20 00:09:47",0,0
