en,th,latitude,longitude
,สถานีสำเหร่,13.7145277,100.48907879999999
,สถานีวงเวียนใหญ่,13.724642900000001,100.49253879999999
,สถานีสะพานพุทธฯ,13.7312299,100.4948053
,สถานีวังบูรพา,13.747005,100.5032205
,สถานีผ่านฟ้า,13.756678099999998,100.50185520000001
,สถานีบางขุนพรหม,13.7661052,100.5005801
,สถานีหอสมุดแห่งชาติ,13.7718677,100.5053866
,สถานีสามเสน,13.780912400000002,100.50965670000001
,สถานีศรีย่าน,13.7875707,100.5133152
,สถานีรัฐสภา,13.796969099999998,100.5210829
 Bang Kraso,สถานีบางกระสอ(สรีพรสวรรค์),13.861715900000002,100.504775
,G1 สถานีกรุงธนบุรี,13.721125299999999,100.50294040000001
,G2 สถานีไอคอมสยาม,13.725033800000002,100.50918459999998
,G3 สถานีคลองสาน,13.730099,100.5087018
,สถานีศรีเทพา,13.630886800000003,100.6209182
,สถานีศรีด่าน,13.634380300000002,100.63088540000001
,สถานีทิพวัล,13.636973699999999,100.60955140000002
,สถานีศรีแบริ่ง,13.643253,100.6360804
,สถานีสำโรง,13.645234599999998,100.5961082
,สถานีศรีลาซาล,13.6552297,100.6421496
,สถานีศรีเอี่ยม,13.6675288,100.64462409999999
,สถานีศรีอุดม,13.676796900000001,100.64600379999999
,สถานีสวนหลวงร.9,13.691119500000001,100.6471659
,สถานีศรีนครินทร์ 38,13.7055628,100.6454233
,สถานีศรีนุช,13.710901199999999,100.64416429999999
,สถานีคลองกลันตัน,13.725238899999999,100.6418068
,สถานีพัฒนาการ,13.7366644,100.6412878
,สถานีศรีกรีฑา,13.7508539,100.64486070000001
,สถานีแยกลำสาลี,13.762213199999998,100.64556
,สถานีบางกะปิ,13.769144800000001,100.6397347
,สถานีลาดพร้าว101,13.774542000000002,100.6300949
,สถานีวังทองหลาง,13.7784853,100.6230214
,สถานีฉลองรัช,13.783706400000002,100.6136586
,สถานีลาดพร้าว 71,13.787825199999999,100.6062955
,สถานีโชคชัย4,13.794394,100.5944812
,สถานีภาวนา,13.800101999999999,100.58425290000001
,สถานีรัชดา,13.807008600000001,100.575019
